,Hotels,Address
0,Biverah Hotel and Suite,"Kumarapuram, Thiruvananthapuram"
1,Leela Backwaters Inn,"Poovar, Kovalam and Poovar | 17.32 km from city centre"
2,Rivercounty,"Kallar, Nedumangad"
3,Sagara Beach Resort,"Kovalam Beach, Kovalam and Poovar"
4,Akhil Beach Resort,"Varkala Beach, Varkala"
5,Hotel Highland,"Pulimoodu, Thiruvananthapuram"
6,Geethu International,"Poovar, Kovalam and Poovar | 17.3 km from city centre"
7,Deshadan Cliff & Beach Resort,"Varkala Beach, Varkala"
8,Abad Harmonia Ayurveda Beach Resort,"Kazhivoor, Kovalam and Poovar | 8.72 km from city centre"
9,InDa hotel,"Varkala Beach, Varkala"
10,Chirag Inn,"Palayam, Thiruvananthapuram"
11,Hotel White Dammar International,"Pappanamcode, Thiruvananthapuram"
12,Pulari Gardens,"Mundayil Road, Varkala"
13,The Royal Heritage,"Pazhavangadi, Thiruvananthapuram"
14,HAWAH BEACH RESORT,"Kovalam Beach, Kovalam and Poovar"
15,Samudratheeram Beach Resort,"Beach Road, Kovalam and Poovar"
16,Hotel Seven Hills,"Thampanoor, Thiruvananthapuram"
17,Hotel Venkateswara,"Near Thiruvananthapuram Train Station, Thiruvananthapuram"
18,Unwind Hotels and Resort,"Kovalam Beach, Kovalam and Poovar"
19,Boban Residency,"Pulimoodu, Thiruvananthapuram"
20,Palmtree Bungalow,"Odayam Beach, Varkala"
21,Soma Manaltheeram Ayurveda Beach Village,"Kazhivoor, Kovalam and Poovar | 8.24 km from city centre"
22,Ambara Suites,"Anayara, Thiruvananthapuram"
23,"Hotel Safari, Venjaramood",Nedumangad
24,The Terrace,"Palayam, Thiruvananthapuram"
25,Sajjoys,"Varkala Beach, Varkala"
26,Swades My Home,"Pulimoodu, Thiruvananthapuram"
27,Lagoona Beach Resort,"Pachalloor, Thiruvananthapuram"
28,Karthika Residency,Nedumangad
29,Clifften Hotel,"Eanchakkal, Thiruvananthapuram"
30,COCOLAND HERITAGE BEACH RESORT,"Kovalam Beach, Kovalam and Poovar"
31,Over The Hill,"Poovar, Kovalam and Poovar | 18.5 km from city centre"
32,SS Beach Resort,"Varkala Beach, Varkala"
33,Soma Palmshore,"Kovalam Beach, Kovalam and Poovar | 2.6 km from city centre"
34,Ginger Trivandrum,"Kazhakkoottam, Thiruvananthapuram"
35,Krishnatheeram Ayur Holy Beach Resort,"Varkala Beach, Varkala"
36,Varkala Palace,"Mundayil Road, Varkala"
37,Chothy's Park,"Kesavadasapuram, Thiruvananthapuram"
38,Searock Beach Resort,"Kovalam Beach, Kovalam and Poovar"
39,Clafouti Beach Resort,"Varkala Beach, Varkala"
40,Black Beach Resort,"Varkala Beach, Varkala"
41,Sun Tara Beach Resort,"Kazhivoor, Kovalam and Poovar | 7.97 km from city centre"
42,Palm Tree Heritage,"Odayam Beach, Varkala"
43,Swagath Holiday Resorts,"Kovalam Beach, Kovalam and Poovar"
44,SARAS PARK,"Pulimoodu, Thiruvananthapuram"
45,Hotel Town Tower,"Palayam, Thiruvananthapuram"
46,Jasmine Palace,"Kovalam Beach, Kovalam and Poovar"
47,Divine Bliss Beach Resort,"Varkala Beach, Varkala"
48,OYO 15554 Hotel Al Saj,"Kazhakkoottam, Thiruvananthapuram"
49,Rajapark Beach Resort,"Varkala Beach, Varkala"
50,Hotel Pankaj,"Palayam, Thiruvananthapuram"
51,Omsam Guest Home,"Temple Road, Varkala"
52,SANKETHAM,"Sasthamangalam, Thiruvananthapuram"
53,Pappukutty Beach Resort,"Kovalam Beach, Kovalam and Poovar"
54,Ocean Bay Ayurvedic Beach Resort,"Kovalam Beach, Kovalam and Poovar"
55,The Sanctum Spring Beach Resort,"Varkala Beach, Varkala"
56,God's Own Country Ayurveda Resorts,"Kazhivoor, Kovalam and Poovar | 7.78 km from city centre"
57,Beach & Lake Ayurvedic Resort,"Pachalloor, Thiruvananthapuram"
58,Puja Samudra,"Samudra Beach , Kovalam and Poovar"
59,Nikhil Residence,"Varkala Beach, Varkala"
60,Beach Hotel Neelakanta,"Kovalam Beach, Kovalam and Poovar"
61,OYO 5344 Hotel Oasis,"Palayam, Thiruvananthapuram"
62,Hotel Marine Palace,"Kovalam Beach, Kovalam and Poovar"
63,Jeevan Beach Resort,"Kovalam Beach, Kovalam and Poovar"
